tri,taille,cas,plage,temps
bulle_basique_v2,17000,constant,petite,0.184392
bulle_optimise,17000,constant,petite,0.000022
cocktail,17000,constant,petite,0.000044
selection,17000,constant,petite,0.184851
insertion,17000,constant,petite,0.000045
comptage,17000,constant,petite,0.000083
fusion,17000,constant,petite,0.001452
rapide,17000,constant,petite,0.303581
bulle_basique,17000,aleatoire,grande,0.679557
bulle_basique_v2,17000,aleatoire,grande,0.505882
bulle_optimise,17000,aleatoire,grande,0.506092
cocktail,17000,aleatoire,grande,0.385618
selection,17000,aleatoire,grande,0.188898
insertion,17000,aleatoire,grande,0.097907
comptage,17000,aleatoire,grande,0.002455
fusion,17000,aleatoire,grande,0.002707
rapide,17000,aleatoire,grande,0.001454
bulle_basique,17000,croissant,grande,0.382541
bulle_basique_v2,17000,croissant,grande,0.187577
bulle_optimise,17000,croissant,grande,0.000022
cocktail,17000,croissant,grande,0.000044
selection,17000,croissant,grande,0.186172
insertion,17000,croissant,grande,0.000038
comptage,17000,croissant,grande,0.000125
fusion,17000,croissant,grande,0.001390
rapide,17000,croissant,grande,0.000469
bulle_basique,17000,decroissant,grande,0.504545
bulle_basique_v2,17000,decroissant,grande,0.330258
bulle_optimise,17000,decroissant,grande,0.332301
cocktail,17000,decroissant,grande,0.320471
selection,17000,decroissant,grande,0.208731
insertion,17000,decroissant,grande,0.201413
comptage,17000,decroissant,grande,0.000117
fusion,17000,decroissant,grande,0.002844
rapide,17000,decroissant,grande,0.001331
bulle_basique,17000,constant,grande,0.389226
bulle_basique_v2,17000,constant,grande,0.185040
bulle_optimise,17000,constant,grande,0.000022
cocktail,17000,constant,grande,0.000043
selection,17000,constant,grande,0.184709
insertion,17000,constant,grande,0.000038
comptage,17000,constant,grande,0.001121
fusion,17000,constant,grande,0.001363
rapide,17000,constant,grande,0.303149
bulle_basique,19000,aleatoire,petite,0.854160
bulle_basique_v2,19000,aleatoire,petite,0.632430
bulle_optimise,19000,aleatoire,petite,0.630742
cocktail,19000,aleatoire,petite,0.474546
selection,19000,aleatoire,petite,0.231240
insertion,19000,aleatoire,petite,0.114590
comptage,19000,aleatoire,petite,0.000070
fusion,19000,aleatoire,petite,0.002249
rapide,19000,aleatoire,petite,0.018830
bulle_basique,19000,croissant,petite,0.460733
bulle_basique_v2,19000,croissant,petite,0.230706
bulle_optimise,19000,croissant,petite,0.000025
cocktail,19000,croissant,petite,0.000051
selection,19000,croissant,petite,0.230433
insertion,19000,croissant,petite,0.000043
comptage,19000,croissant,petite,0.000127
fusion,19000,croissant,petite,0.001543
rapide,19000,croissant,petite,0.000534
bulle_basique,19000,decroissant,petite,0.626500
bulle_basique_v2,19000,decroissant,petite,0.411428
bulle_optimise,19000,decroissant,petite,0.413895
cocktail,19000,decroissant,petite,0.398982
selection,19000,decroissant,petite,0.259599
insertion,19000,decroissant,petite,0.242245
comptage,19000,decroissant,petite,0.000129
fusion,19000,decroissant,petite,0.001584
rapide,19000,decroissant,petite,0.000652
bulle_basique,19000,constant,petite,0.460976
bulle_basique_v2,19000,constant,petite,0.230426
bulle_optimise,19000,constant,petite,0.000024
cocktail,19000,constant,petite,0.000050
selection,19000,constant,petite,0.230646
insertion,19000,constant,petite,0.000043
comptage,19000,constant,petite,0.000088
fusion,19000,constant,petite,0.001603
rapide,19000,constant,petite,0.378786
bulle_basique,19000,aleatoire,grande,0.857037
bulle_basique_v2,19000,aleatoire,grande,0.638158
bulle_optimise,19000,aleatoire,grande,0.645287
cocktail,19000,aleatoire,grande,0.469106
selection,19000,aleatoire,grande,0.235280
insertion,19000,aleatoire,grande,0.121989
comptage,19000,aleatoire,grande,0.002201
fusion,19000,aleatoire,grande,0.002813
rapide,19000,aleatoire,grande,0.001727
bulle_basique,19000,croissant,grande,0.463787
bulle_basique_v2,19000,croissant,grande,0.231275
bulle_optimise,19000,croissant,grande,0.000026
cocktail,19000,croissant,grande,0.000049
selection,19000,croissant,grande,0.237005
insertion,19000,croissant,grande,0.000043
comptage,19000,croissant,grande,0.000129
fusion,19000,croissant,grande,0.001541
rapide,19000,croissant,grande,0.000534
bulle_basique,19000,decroissant,grande,0.643250
bulle_basique_v2,19000,decroissant,grande,0.413064
bulle_optimise,19000,decroissant,grande,0.416039
cocktail,19000,decroissant,grande,0.414599
selection,19000,decroissant,grande,0.268235
insertion,19000,decroissant,grande,0.244207
comptage,19000,decroissant,grande,0.000124
fusion,19000,decroissant,grande,0.001592
rapide,19000,decroissant,grande,0.000693
bulle_basique,19000,constant,grande,0.463546
bulle_basique_v2,19000,constant,grande,0.232617
bulle_optimise,19000,constant,grande,0.000025
cocktail,19000,constant,grande,0.000049
selection,19000,constant,grande,0.232003
insertion,19000,constant,grande,0.000044
comptage,19000,constant,grande,0.001773
fusion,19000,constant,grande,0.001655
rapide,19000,constant,grande,0.381985
bulle_basique,21000,aleatoire,petite,1.066374
bulle_basique_v2,21000,aleatoire,petite,0.798799
bulle_optimise,21000,aleatoire,petite,0.791621
cocktail,21000,aleatoire,petite,0.593978
selection,21000,aleatoire,petite,0.284186
insertion,21000,aleatoire,petite,0.141794
comptage,21000,aleatoire,petite,0.000079
fusion,21000,aleatoire,petite,0.002427
rapide,21000,aleatoire,petite,0.023060
bulle_basique,21000,croissant,petite,0.567148
bulle_basique_v2,21000,croissant,petite,0.283862
bulle_optimise,21000,croissant,petite,0.000027
cocktail,21000,croissant,petite,0.000055
selection,21000,croissant,petite,0.283635
insertion,21000,croissant,petite,0.000048
comptage,21000,croissant,petite,0.000146
fusion,21000,croissant,petite,0.001725
rapide,21000,croissant,petite,0.000599
bulle_basique,21000,decroissant,petite,0.768679
bulle_basique_v2,21000,decroissant,petite,0.505108
bulle_optimise,21000,decroissant,petite,0.509271
cocktail,21000,decroissant,petite,0.503857
selection,21000,decroissant,petite,0.321085
insertion,21000,decroissant,petite,0.300742
comptage,21000,decroissant,petite,0.000129
fusion,21000,decroissant,petite,0.001706
rapide,21000,decroissant,petite,0.000732
bulle_basique,21000,constant,petite,0.569799
bulle_basique_v2,21000,constant,petite,0.284979
bulle_optimise,21000,constant,petite,0.000033
cocktail,21000,constant,petite,0.000055
selection,21000,constant,petite,0.284398
insertion,21000,constant,petite,0.000048
comptage,21000,constant,petite,0.000096
fusion,21000,constant,petite,0.001676
rapide,21000,constant,petite,0.464685
bulle_basique,21000,aleatoire,grande,1.064105
bulle_basique_v2,21000,aleatoire,grande,0.797359
bulle_optimise,21000,aleatoire,grande,0.795327
cocktail,21000,aleatoire,grande,0.584307
selection,21000,aleatoire,grande,0.284181
insertion,21000,aleatoire,grande,0.149412
comptage,21000,aleatoire,grande,0.002276
fusion,21000,aleatoire,grande,0.003024
rapide,21000,aleatoire,grande,0.001811
bulle_basique,21000,croissant,grande,0.567231
bulle_basique_v2,21000,croissant,grande,0.283768
bulle_optimise,21000,croissant,grande,0.000028
cocktail,21000,croissant,grande,0.000054
selection,21000,croissant,grande,0.283651
insertion,21000,croissant,grande,0.000047
comptage,21000,croissant,grande,0.000163
fusion,21000,croissant,grande,0.001851
rapide,21000,croissant,grande,0.000614
bulle_basique,21000,decroissant,grande,0.770011
bulle_basique_v2,21000,decroissant,grande,0.504078
bulle_optimise,21000,decroissant,grande,0.521412
cocktail,21000,decroissant,grande,0.492661
selection,21000,decroissant,grande,0.318581
insertion,21000,decroissant,grande,0.295503
comptage,21000,decroissant,grande,0.000137
fusion,21000,decroissant,grande,0.001728
rapide,21000,decroissant,grande,0.000758
bulle_basique,21000,constant,grande,0.567126
bulle_basique_v2,21000,constant,grande,0.285212
bulle_optimise,21000,constant,grande,0.000027
cocktail,21000,constant,grande,0.000054
selection,21000,constant,grande,0.305812
insertion,21000,constant,grande,0.000048
comptage,21000,constant,grande,0.000544
fusion,21000,constant,grande,0.001801
rapide,21000,constant,grande,0.470624
bulle_basique,23000,aleatoire,petite,1.282181
bulle_basique_v2,23000,aleatoire,petite,0.957335
bulle_optimise,23000,aleatoire,petite,0.944974
cocktail,23000,aleatoire,petite,0.716853
selection,23000,aleatoire,petite,0.339786
insertion,23000,aleatoire,petite,0.170411
comptage,23000,aleatoire,petite,0.000090
fusion,23000,aleatoire,petite,0.002641
rapide,23000,aleatoire,petite,0.027474
bulle_basique,23000,croissant,petite,0.680702
bulle_basique_v2,23000,croissant,petite,0.345230
bulle_optimise,23000,croissant,petite,0.000032
cocktail,23000,croissant,petite,0.000062
selection,23000,croissant,petite,0.339587
insertion,23000,croissant,petite,0.000052
comptage,23000,croissant,petite,0.000157
fusion,23000,croissant,petite,0.001928
rapide,23000,croissant,petite,0.000677
bulle_basique,23000,decroissant,petite,0.932216
bulle_basique_v2,23000,decroissant,petite,0.608255
bulle_optimise,23000,decroissant,petite,0.629683
cocktail,23000,decroissant,petite,0.593362
selection,23000,decroissant,petite,0.382834
insertion,23000,decroissant,petite,0.356406
comptage,23000,decroissant,petite,0.000152
fusion,23000,decroissant,petite,0.001873
rapide,23000,decroissant,petite,0.000802
bulle_basique,23000,constant,petite,0.681339
bulle_basique_v2,23000,constant,petite,0.340043
bulle_optimise,23000,constant,petite,0.000030
cocktail,23000,constant,petite,0.000059
selection,23000,constant,petite,0.339646
insertion,23000,constant,petite,0.000052
comptage,23000,constant,petite,0.000115
fusion,23000,constant,petite,0.001945
rapide,23000,constant,petite,0.562322
bulle_basique,23000,aleatoire,grande,1.290789
bulle_basique_v2,23000,aleatoire,grande,0.967539
bulle_optimise,23000,aleatoire,grande,0.959790
cocktail,23000,aleatoire,grande,0.697115
selection,23000,aleatoire,grande,0.348827
insertion,23000,aleatoire,grande,0.180182
comptage,23000,aleatoire,grande,0.002665
fusion,23000,aleatoire,grande,0.003484
rapide,23000,aleatoire,grande,0.002042
bulle_basique,23000,croissant,grande,0.679436
bulle_basique_v2,23000,croissant,grande,0.341574
bulle_optimise,23000,croissant,grande,0.000030
cocktail,23000,croissant,grande,0.000059
selection,23000,croissant,grande,0.338559
insertion,23000,croissant,grande,0.000052
comptage,23000,croissant,grande,0.000177
fusion,23000,croissant,grande,0.002160
rapide,23000,croissant,grande,0.000728
bulle_basique,23000,decroissant,grande,0.919915
bulle_basique_v2,23000,decroissant,grande,0.608026
bulle_optimise,23000,decroissant,grande,0.608289
cocktail,23000,decroissant,grande,0.588076
selection,23000,decroissant,grande,0.382193
insertion,23000,decroissant,grande,0.355498
comptage,23000,decroissant,grande,0.000148
fusion,23000,decroissant,grande,0.001913
rapide,23000,decroissant,grande,0.000839
bulle_basique,23000,constant,grande,0.678137
bulle_basique_v2,23000,constant,grande,0.341704
bulle_optimise,23000,constant,grande,0.000029
cocktail,23000,constant,grande,0.000059
selection,23000,constant,grande,0.340481
insertion,23000,constant,grande,0.000052
comptage,23000,constant,grande,0.001290
fusion,23000,constant,grande,0.001871
rapide,23000,constant,grande,0.556884
bulle_basique,25000,aleatoire,petite,1.524767
bulle_basique_v2,25000,aleatoire,petite,1.132317
bulle_optimise,25000,aleatoire,petite,1.121561
cocktail,25000,aleatoire,petite,0.831170
selection,25000,aleatoire,petite,0.401299
insertion,25000,aleatoire,petite,0.199996
comptage,25000,aleatoire,petite,0.000099
fusion,25000,aleatoire,petite,0.002909
rapide,25000,aleatoire,petite,0.032950
bulle_basique,25000,croissant,petite,0.815648
bulle_basique_v2,25000,croissant,petite,0.403042
bulle_optimise,25000,croissant,petite,0.000032
cocktail,25000,croissant,petite,0.000065
selection,25000,croissant,petite,0.401904
insertion,25000,croissant,petite,0.000056
comptage,25000,croissant,petite,0.000164
fusion,25000,croissant,petite,0.002060
rapide,25000,croissant,petite,0.000735
bulle_basique,25000,decroissant,petite,1.106917
bulle_basique_v2,25000,decroissant,petite,0.738283
bulle_optimise,25000,decroissant,petite,0.720431
cocktail,25000,decroissant,petite,0.692910
selection,25000,decroissant,petite,0.450638
insertion,25000,decroissant,petite,0.421762
comptage,25000,decroissant,petite,0.000220
fusion,25000,decroissant,petite,0.002112
rapide,25000,decroissant,petite,0.000877
bulle_basique,25000,constant,petite,0.823456
bulle_basique_v2,25000,constant,petite,0.402338
bulle_optimise,25000,constant,petite,0.000032
cocktail,25000,constant,petite,0.000064
selection,25000,constant,petite,0.410294
insertion,25000,constant,petite,0.000056
comptage,25000,constant,petite,0.000112
fusion,25000,constant,petite,0.002041
rapide,25000,constant,petite,0.658963
bulle_basique,25000,aleatoire,grande,1.551755
bulle_basique_v2,25000,aleatoire,grande,1.173678
bulle_optimise,25000,aleatoire,grande,1.139523
cocktail,25000,aleatoire,grande,0.827485
selection,25000,aleatoire,grande,0.410450
insertion,25000,aleatoire,grande,0.215346
comptage,25000,aleatoire,grande,0.002523
fusion,25000,aleatoire,grande,0.003866
rapide,25000,aleatoire,grande,0.002318
bulle_basique,25000,croissant,grande,0.808263
bulle_basique_v2,25000,croissant,grande,0.400915
bulle_optimise,25000,croissant,grande,0.000032
cocktail,25000,croissant,grande,0.000065
selection,25000,croissant,grande,0.399685
insertion,25000,croissant,grande,0.000061
comptage,25000,croissant,grande,0.000174
fusion,25000,croissant,grande,0.002136
rapide,25000,croissant,grande,0.000741
bulle_basique,25000,decroissant,grande,1.085754
bulle_basique_v2,25000,decroissant,grande,0.738326
bulle_optimise,25000,decroissant,grande,0.721930
cocktail,25000,decroissant,grande,0.697596
selection,25000,decroissant,grande,0.452685
insertion,25000,decroissant,grande,0.423017
comptage,25000,decroissant,grande,0.000158
fusion,25000,decroissant,grande,0.002059
rapide,25000,decroissant,grande,0.000877
bulle_basique,25000,constant,grande,0.807917
bulle_basique_v2,25000,constant,grande,0.404597
bulle_optimise,25000,constant,grande,0.000033
cocktail,25000,constant,grande,0.000065
selection,25000,constant,grande,0.404416
insertion,25000,constant,grande,0.000056
comptage,25000,constant,grande,0.000309
fusion,25000,constant,grande,0.002075
rapide,25000,constant,grande,0.664244
bulle_basique,27000,aleatoire,petite,1.796124
bulle_basique_v2,27000,aleatoire,petite,1.363293
bulle_optimise,27000,aleatoire,petite,1.341983
cocktail,27000,aleatoire,petite,0.982495
selection,27000,aleatoire,petite,0.469086
insertion,27000,aleatoire,petite,0.234200
comptage,27000,aleatoire,petite,0.000120
fusion,27000,aleatoire,petite,0.003315
rapide,27000,aleatoire,petite,0.037688
bulle_basique,27000,croissant,petite,0.935352
bulle_basique_v2,27000,croissant,petite,0.469183
bulle_optimise,27000,croissant,petite,0.000035
cocktail,27000,croissant,petite,0.000069
selection,27000,croissant,petite,0.468247
insertion,27000,croissant,petite,0.000062
comptage,27000,croissant,petite,0.000172
fusion,27000,croissant,petite,0.002202
rapide,27000,croissant,petite,0.000789
bulle_basique,27000,decroissant,petite,1.284842
bulle_basique_v2,27000,decroissant,petite,0.837197
bulle_optimise,27000,decroissant,petite,0.844673
cocktail,27000,decroissant,petite,0.830314
selection,27000,decroissant,petite,0.531061
insertion,27000,decroissant,petite,0.497047
comptage,27000,decroissant,petite,0.000182
fusion,27000,decroissant,petite,0.002307
rapide,27000,decroissant,petite,0.000941
bulle_basique,27000,constant,petite,0.942394
bulle_basique_v2,27000,constant,petite,0.469716
bulle_optimise,27000,constant,petite,0.000035
cocktail,27000,constant,petite,0.000070
selection,27000,constant,petite,0.471700
insertion,27000,constant,petite,0.000062
comptage,27000,constant,petite,0.000124
fusion,27000,constant,petite,0.002230
rapide,27000,constant,petite,0.772897
bulle_basique,27000,aleatoire,grande,1.794005
bulle_basique_v2,27000,aleatoire,grande,1.366248
bulle_optimise,27000,aleatoire,grande,1.339077
cocktail,27000,aleatoire,grande,0.965679
selection,27000,aleatoire,grande,0.470008
insertion,27000,aleatoire,grande,0.244853
comptage,27000,aleatoire,grande,0.002512
fusion,27000,aleatoire,grande,0.004233
rapide,27000,aleatoire,grande,0.002370
bulle_basique,27000,croissant,grande,0.936429
bulle_basique_v2,27000,croissant,grande,0.470860
bulle_optimise,27000,croissant,grande,0.000035
cocktail,27000,croissant,grande,0.000070
selection,27000,croissant,grande,0.471409
insertion,27000,croissant,grande,0.000062
comptage,27000,croissant,grande,0.000175
fusion,27000,croissant,grande,0.002452
rapide,27000,croissant,grande,0.000789
bulle_basique,27000,decroissant,grande,1.274289
bulle_basique_v2,27000,decroissant,grande,0.830300
bulle_optimise,27000,decroissant,grande,0.835176
cocktail,27000,decroissant,grande,0.804986
selection,27000,decroissant,grande,0.527651
insertion,27000,decroissant,grande,0.508533
comptage,27000,decroissant,grande,0.000173
fusion,27000,decroissant,grande,0.002290
rapide,27000,decroissant,grande,0.000961
bulle_basique,27000,constant,grande,0.951795
bulle_basique_v2,27000,constant,grande,0.476346
bulle_optimise,27000,constant,grande,0.000035
cocktail,27000,constant,grande,0.000070
selection,27000,constant,grande,0.470700
insertion,27000,constant,grande,0.000061
comptage,27000,constant,grande,0.001421
fusion,27000,constant,grande,0.002452
rapide,27000,constant,grande,0.770466
bulle_basique,29000,aleatoire,petite,2.076776
bulle_basique_v2,29000,aleatoire,petite,1.559716
bulle_optimise,29000,aleatoire,petite,1.538426
cocktail,29000,aleatoire,petite,1.134566
selection,29000,aleatoire,petite,0.561332
insertion,29000,aleatoire,petite,0.271643
comptage,29000,aleatoire,petite,0.000172
fusion,29000,aleatoire,petite,0.003522
rapide,29000,aleatoire,petite,0.044338
bulle_basique,29000,croissant,petite,1.088503
bulle_basique_v2,29000,croissant,petite,0.542388
bulle_optimise,29000,croissant,petite,0.000037
cocktail,29000,croissant,petite,0.000074
selection,29000,croissant,petite,0.540400
insertion,29000,croissant,petite,0.000065
comptage,29000,croissant,petite,0.000187
fusion,29000,croissant,petite,0.002493
rapide,29000,croissant,petite,0.000862
bulle_basique,29000,decroissant,petite,1.462248
bulle_basique_v2,29000,decroissant,petite,0.959925
bulle_optimise,29000,decroissant,petite,0.963733
cocktail,29000,decroissant,petite,0.929888
selection,29000,decroissant,petite,0.605518
insertion,29000,decroissant,petite,0.583709
comptage,29000,decroissant,petite,0.000176
fusion,29000,decroissant,petite,0.002506
rapide,29000,decroissant,petite,0.001011
bulle_basique,29000,constant,petite,1.086019
bulle_basique_v2,29000,constant,petite,0.543935
bulle_optimise,29000,constant,petite,0.000037
cocktail,29000,constant,petite,0.000085
selection,29000,constant,petite,0.544392
insertion,29000,constant,petite,0.000066
comptage,29000,constant,petite,0.000131
fusion,29000,constant,petite,0.002356
rapide,29000,constant,petite,0.883580
bulle_basique,29000,aleatoire,grande,2.075600
bulle_basique_v2,29000,aleatoire,grande,1.563106
bulle_optimise,29000,aleatoire,grande,1.549324
cocktail,29000,aleatoire,grande,1.103576
selection,29000,aleatoire,grande,0.539291
insertion,29000,aleatoire,grande,0.280333
comptage,29000,aleatoire,grande,0.002640
fusion,29000,aleatoire,grande,0.004430
rapide,29000,aleatoire,grande,0.002538
bulle_basique,29000,croissant,grande,1.073593
bulle_basique_v2,29000,croissant,grande,0.537007
bulle_optimise,29000,croissant,grande,0.000038
cocktail,29000,croissant,grande,0.000075
selection,29000,croissant,grande,0.541030
insertion,29000,croissant,grande,0.000067
comptage,29000,croissant,grande,0.000199
fusion,29000,croissant,grande,0.002376
rapide,29000,croissant,grande,0.000876
bulle_basique,29000,decroissant,grande,1.526289
bulle_basique_v2,29000,decroissant,grande,0.970928
bulle_optimise,29000,decroissant,grande,0.985270
cocktail,29000,decroissant,grande,0.939337
selection,29000,decroissant,grande,0.609156
insertion,29000,decroissant,grande,0.563592
comptage,29000,decroissant,grande,0.000174
fusion,29000,decroissant,grande,0.002425
rapide,29000,decroissant,grande,0.001011
bulle_basique,29000,constant,grande,1.090021
bulle_basique_v2,29000,constant,grande,0.543595
bulle_optimise,29000,constant,grande,0.000038
cocktail,29000,constant,grande,0.000074
selection,29000,constant,grande,0.542143
insertion,29000,constant,grande,0.000069
comptage,29000,constant,grande,0.001623
fusion,29000,constant,grande,0.002509
rapide,29000,constant,grande,0.894734
bulle_basique,31000,aleatoire,petite,2.386279
bulle_basique_v2,31000,aleatoire,petite,1.799052
bulle_optimise,31000,aleatoire,petite,1.800248
cocktail,31000,aleatoire,petite,1.320577
selection,31000,aleatoire,petite,0.621684
insertion,31000,aleatoire,petite,0.312540
comptage,31000,aleatoire,petite,0.000115
fusion,31000,aleatoire,petite,0.003684
rapide,31000,aleatoire,petite,0.049951
bulle_basique,31000,croissant,petite,1.234056
bulle_basique_v2,31000,croissant,petite,0.620059
bulle_optimise,31000,croissant,petite,0.000039
cocktail,31000,croissant,petite,0.000080
selection,31000,croissant,petite,0.617420
insertion,31000,croissant,petite,0.000070
comptage,31000,croissant,petite,0.000204
fusion,31000,croissant,petite,0.002545
rapide,31000,croissant,petite,0.000923
bulle_basique,31000,decroissant,petite,1.680376
bulle_basique_v2,31000,decroissant,petite,1.105101
bulle_optimise,31000,decroissant,petite,1.166695
cocktail,31000,decroissant,petite,1.221599
selection,31000,decroissant,petite,0.709483
insertion,31000,decroissant,petite,0.659622
comptage,31000,decroissant,petite,0.000211
fusion,31000,decroissant,petite,0.002793
rapide,31000,decroissant,petite,0.001118
bulle_basique,31000,constant,petite,1.270586
bulle_basique_v2,31000,constant,petite,0.623494
bulle_optimise,31000,constant,petite,0.000040
cocktail,31000,constant,petite,0.000079
selection,31000,constant,petite,0.617310
insertion,31000,constant,petite,0.000071
comptage,31000,constant,petite,0.000143
fusion,31000,constant,petite,0.002600
rapide,31000,constant,petite,1.012240
bulle_basique,31000,aleatoire,grande,2.393330
bulle_basique_v2,31000,aleatoire,grande,1.800287
bulle_optimise,31000,aleatoire,grande,1.804845
cocktail,31000,aleatoire,grande,1.287544
selection,31000,aleatoire,grande,0.625174
insertion,31000,aleatoire,grande,0.322755
comptage,31000,aleatoire,grande,0.002856
fusion,31000,aleatoire,grande,0.004942
rapide,31000,aleatoire,grande,0.002754
bulle_basique,31000,croissant,grande,1.252297
bulle_basique_v2,31000,croissant,grande,0.621278
bulle_optimise,31000,croissant,grande,0.000041
cocktail,31000,croissant,grande,0.000081
selection,31000,croissant,grande,0.625212
insertion,31000,croissant,grande,0.000069
comptage,31000,croissant,grande,0.000208
fusion,31000,croissant,grande,0.002623
rapide,31000,croissant,grande,0.000906
bulle_basique,31000,decroissant,grande,1.695257
bulle_basique_v2,31000,decroissant,grande,1.104856
bulle_optimise,31000,decroissant,grande,1.119884
cocktail,31000,decroissant,grande,1.079570
selection,31000,decroissant,grande,0.700482
insertion,31000,decroissant,grande,0.660261
comptage,31000,decroissant,grande,0.000230
fusion,31000,decroissant,grande,0.002695
rapide,31000,decroissant,grande,0.001101
bulle_basique,31000,constant,grande,1.244111
bulle_basique_v2,31000,constant,grande,0.622477
bulle_optimise,31000,constant,grande,0.000041
cocktail,31000,constant,grande,0.000081
selection,31000,constant,grande,0.623153
insertion,31000,constant,grande,0.000070
comptage,31000,constant,grande,0.000312
fusion,31000,constant,grande,0.002590
rapide,31000,constant,grande,1.022833
bulle_basique,33000,aleatoire,petite,2.742123
bulle_basique_v2,33000,aleatoire,petite,2.072287
bulle_optimise,33000,aleatoire,petite,2.015332
cocktail,33000,aleatoire,petite,1.503600
selection,33000,aleatoire,petite,0.698456
insertion,33000,aleatoire,petite,0.350981
comptage,33000,aleatoire,petite,0.000145
fusion,33000,aleatoire,petite,0.003950
rapide,33000,aleatoire,petite,0.056725
bulle_basique,33000,croissant,petite,1.411392
bulle_basique_v2,33000,croissant,petite,0.695935
bulle_optimise,33000,croissant,petite,0.000042
cocktail,33000,croissant,petite,0.000084
selection,33000,croissant,petite,0.698556
insertion,33000,croissant,petite,0.000074
comptage,33000,croissant,petite,0.000227
fusion,33000,croissant,petite,0.002729
rapide,33000,croissant,petite,0.000945
bulle_basique,33000,decroissant,petite,1.915724
bulle_basique_v2,33000,decroissant,petite,1.330350
bulle_optimise,33000,decroissant,petite,1.278636
cocktail,33000,decroissant,petite,1.222764
selection,33000,decroissant,petite,0.792051
insertion,33000,decroissant,petite,0.737449
comptage,33000,decroissant,petite,0.000234
fusion,33000,decroissant,petite,0.002772
rapide,33000,decroissant,petite,0.001162
bulle_basique,33000,constant,petite,1.390465
bulle_basique_v2,33000,constant,petite,0.694985
bulle_optimise,33000,constant,petite,0.000042
cocktail,33000,constant,petite,0.000084
selection,33000,constant,petite,0.708905
insertion,33000,constant,petite,0.000075
comptage,33000,constant,petite,0.000159
fusion,33000,constant,petite,0.002770
rapide,33000,constant,petite,1.152571
bulle_basique,33000,aleatoire,grande,2.735625
bulle_basique_v2,33000,aleatoire,grande,2.034591
bulle_optimise,33000,aleatoire,grande,2.048222
cocktail,33000,aleatoire,grande,1.502373
selection,33000,aleatoire,grande,0.710298
insertion,33000,aleatoire,grande,0.368613
comptage,33000,aleatoire,grande,0.002688
fusion,33000,aleatoire,grande,0.005373
rapide,33000,aleatoire,grande,0.002960
bulle_basique,33000,croissant,grande,1.402149
bulle_basique_v2,33000,croissant,grande,0.710990
bulle_optimise,33000,croissant,grande,0.000042
cocktail,33000,croissant,grande,0.000085
selection,33000,croissant,grande,0.721202
